title,budget,runtime,Budget_Per_Minute
"Spider-Man 3",258000000,139,1856115
"Die Hard",28000000,131,213740
"Starship Troopers",105000000,129,813953
"Apollo 13",52000000,140,371429
Frenzy,3500000,116,30172
"The Wild Bunch",6244087,145,43063
"To Die For",20000000,106,188679
Jaws,7000000,124,56452
"Jaws 2",20000000,116,172414
"Jaws: The Revenge",23000000,89,258427
"Dances with Wolves",22000000,181,121547
"Das Leben der Anderen",2000000,137,14599
"2 Fast 2 Furious",76000000,107,710280
"Monsters, Inc.",115000000,92,1250000
"Wag the Dog",15000000,97,154639
"Big Fish",70000000,125,560000
"Silent Hill",50000000,125,400000
"The Hours",25000000,114,219298
"The Da Vinci Code",125000000,149,838926
"The Conversation",1600000,113,14159
Солярис,0,167,0
"The Terminal",60000000,128,468750
"To Kill a Mockingbird",2000000,129,15504
Titanic,200000000,194,1030928
"Cidade de Deus",3300000,130,25385
"E.T. the Extra-Terrestrial",10500000,115,91304
"Independence Day",75000000,145,517241
"The Matrix",63000000,136,463235
"The Matrix Reloaded",150000000,138,1086957
"The Matrix Revolutions",150000000,129,1162791
"Out of Africa",31000000,161,192547
"Men in Black",90000000,98,918367
"Men in Black II",140000000,88,1590909
Poltergeist,10700000,114,93860
Munich,70000000,164,426829
"Der Untergang",18339750,156,117563
"The Passion of the Christ",30000000,127,236220
"The Last Samurai",140000000,154,909091
"Wild Things",20000000,108,185185
"The Bodyguard",25000000,129,193798
Grease,6000000,110,54545
"The Ninth Gate",38000000,133,285714
Trainspotting,4000000,93,43011
"Interview with the Vampire",60000000,123,487805
"The Usual Suspects",6000000,106,56604
"The Wizard of Oz",2777000,102,27225
"Bridget Jones's Diary",25000000,97,257732
"When Harry Met Sally...",16000000,96,166667
"Catch Me If You Can",52000000,141,368794
"Requiem for a Dream",4500000,102,44118
"Butch Cassidy and the Sundance Kid",6000000,110,54545
"A.I. Artificial Intelligence",100000000,146,684932
"Dr. No",950000,110,8636
"Boyz n the Hood",6500000,112,58036
