title,budget,runtime,Budget_Per_Minute
"Ghosts of Mars",28000000,98,285714
"The Wraith",2700000,93,29032
"The Pacifier",56000000,95,589474
"My Sister's Keeper",30000000,109,275229
"Just My Luck",28000000,103,271845
Unleashed,45000000,103,436893
Honey,18000000,94,191489
"Very Bad Things",30000000,100,300000
"Good Luck Chuck",25000000,101,247525
"High Heels and Low Lifes",0,86,0
"Miss Congeniality 2: Armed and Fabulous",0,115,0
"Banlieue 13",12000000,84,142857
"Joan of Arc",60000000,148,405405
Stealth,135000000,121,1115702
"Get Over It",10000000,87,114943
Dragonfly,60000000,104,576923
"When a Stranger Calls",15000000,87,172414
"Spy Kids",35000000,88,397727
"Get Rich or Die Tryin'",40000000,117,341880
"Escape from L.A.",50000000,97,515464
"The Amityville Horror",19000000,90,211111
"House of Wax",40000000,113,353982
"The Shaggy Dog",50000000,98,510204
"Nine 1/2 Weeks",17000000,117,145299
"Stay Alive",9000000,100,90000
Feast,0,95,0
"The Brothers Solomon",0,93,0
"A Nightmare on Elm Street 3: Dream Warriors",5000000,96,52083
"Date Movie",20000000,83,240964
"Hot Rod",0,88,0
"Blood and Chocolate",0,98,0
"A Sound of Thunder",80000000,110,727273
"Reno 911!: Miami",10000000,84,119048
Cry_Wolf,1000000,90,11111
"13 Going on 30",37000000,98,377551
"Saints and Soldiers",780000,90,8667
"Stick It",0,105,0
"Action Jackson",7000000,96,72917
"A Nightmare on Elm Street 4: The Dream Master",7000000,99,70707
"Talk Radio",4000000,110,36364
Cypher,7500000,95,78947
"Road House",15000000,114,131579
"The Golden Child",25000000,94,265957
"Stuart Little",133000000,84,1583333
"Iron Man 2",200000000,124,1612903
Milk,20000000,128,156250
"The Chronicles of Narnia: The Voyage of the Dawn Treader",155000000,113,1371681
"Bad Santa",23000000,91,252747
"Dumb and Dumberer: When Harry Met Lloyd",19000000,85,223529
Sphere,75000000,134,559701
"Mickey Blue Eyes",0,102,0
"History of the World: Part I",11000000,92,119565
"The Rundown",85000000,104,817308
"A Nightmare on Elm Street 5: The Dream Child",8000000,89,89888
"Waking Ned",0,91,0
"The Lawnmower Man",10000000,108,92593
"Half Past Dead",13000000,98,132653
"The Ice Pirates",9000000,91,98901
"Frozen River",0,97,0
"He's Just Not That Into You",40000000,129,310078
"The Midnight Meat Train",15000000,98,153061
"The Rocker",15000000,102,147059
"Swing Vote",21000000,120,175000
"The Sisterhood of the Traveling Pants 2",27000000,117,230769
"Pineapple Express",27000000,111,243243
"How to Train Your Dragon",165000000,98,1683673
"Shrek Forever After",165000000,93,1774194
"Toy Story 3",200000000,103,1941748
Thor,150000000,115,1304348
"The Last Airbender",150000000,103,1456311
Nine,80000000,112,714286
"The Princess and the Frog",105000000,97,1082474
"The Tale of Despereaux",60000000,93,645161
"The Day the Earth Stood Still",80000000,104,769231
"Yes Man",70000000,104,673077
"Bedtime Stories",80000000,99,808081
"Around the World in 80 Days",110000000,120,916667
"Message in a Bottle",80000000,131,610687
"Muppets from Space",24000000,87,275862
Ravenous,12000000,100,120000
"Son of the Mask",84000000,94,893617
"Sliding Doors",6000000,99,60606
"The Sweet Hereafter",5000000,112,44643
Swingers,200000,94,2128
"Snow Falling on Cedars",0,127,0
Rounders,12000000,121,99174
"A Simple Plan",0,121,0
"Friday the 13th Part VI: Jason Lives",3000000,86,34884
"Haute tension",0,91,0
"A Walk to Remember",11000000,101,108911
"Viskningar och rop",0,91,0
Porky's,4000000,94,42553
디워,70000000,90,777778
Yentl,12000000,132,90909
"Summer of Sam",0,142,0
Thinner,0,92,0
"Friday the 13th Part VII: The New Blood",2800000,88,31818
"Friday the 13th Part VIII: Jason Takes Manhattan",5000000,100,50000
"Jason Goes to Hell: The Final Friday",3000000,87,34483
Fido,8000000,91,87912
"Poltergeist III",10500000,98,107143
Stigmata,29000000,103,281553
"Patch Adams",50000000,115,434783
"The Men Who Stare at Goats",24000000,93,258065
"She's All That",10000000,95,105263
"Fantastic Mr. Fox",40000000,87,459770
"The Ides of March",12500000,101,123762
"Our Brand Is Crisis",28000000,108,259259
"The Ring Two",50000000,110,454545
"Legally Blonde 2: Red, White & Blonde",45000000,95,473684
Congo,50000000,109,458716
"Freaky Friday",26000000,97,268041
"Night of the Living Dead",114000,96,1188
"The Prince of Tides",30000000,132,227273
Spawn,40000000,96,416667
"Moby Dick",4500000,116,38793
"Wing Commander",30000000,100,300000
"Les Visiteurs 2 : Les Couloirs du temps",0,118,0
Volcano,90000000,104,865385
"Zack and Miri Make a Porno",24000000,102,235294
"Two Lovers",12000000,110,109091
Catch-22,18000000,121,148760
"Universal Soldier: The Return",45000000,82,548780
"Tea with Mussolini",12000000,117,102564
D-Tox,55000000,96,572917
"My Cousin Vinny",11000000,120,91667
"Lost Souls",0,97,0
Supernova,90000000,91,989011
"Hanging Up",40000000,94,425532
"The Iron Giant",70000000,86,813953
"The Limey",10000000,89,112360
"For Love of the Game",50000000,137,364964
"Bless the Child",40000000,107,373832
"The Replacements",0,118,0
Wolf,0,125,0
"Angela's Ashes",25,145,0
"Double Jeopardy",70000000,105,666667
"The Hurricane",50000000,146,342466
"Deuce Bigalow: Male Gigolo",17000000,88,193182
Hoffa,35000000,140,250000
"Nowhere to Run",0,94,0
"The Mighty Ducks",10000000,101,99010
"What Planet Are You From?",60000000,105,571429
"The Death and Life of Bobby Z",22000000,97,226804
"Friday After Next",20000000,85,235294
Hackers,20000000,107,186916
War,25000000,103,242718
"The Age of Innocence",34000000,139,244604
"The Muppet Christmas Carol",0,85,0
"Hocus Pocus",28000000,96,291667
Shadowlands,22000000,131,167939
"Rapa Nui",20000000,107,186916
"Get Carter",63600000,102,623529
"28 Days",43000000,103,417476
"Next Friday",11000000,98,112245
"Down to You",9000000,91,98901
"Hustle & Flow",8000000,116,68966
Driven,94000000,116,810345
"Tin Cup",45000000,135,333333
"Nurse Betty",24000000,108,222222
"102 Dalmatians",85000000,100,850000
"Death Race",45000000,105,428571
"Nim's Island",37000000,96,385417
"Drop Dead Gorgeous",10000000,98,102041
Bats,0,91,0
"The Road to El Dorado",95000000,89,1067416
"The Andromeda Strain",6500000,131,49618
"Bride Wars",30000000,89,337079
W.,25100000,131,191603
"Madagascar: Escape 2 Africa",150000000,89,1685393
"Sherlock Holmes",90000000,128,703125
Pocahontas,55000000,81,679012
"The Scarlet Letter",50000000,135,370370
"White Squall",38000000,129,294574
"Spy Hard",18000000,81,222222
"The Doors",38000000,140,271429
"The Hunchback of Notre Dame",100000000,91,1098901
Hamlet,0,242,0
"Ballistic: Ecks vs. Sever",70000000,91,769231
"Shark Tale",75000000,90,833333
"East Is East",3800000,97,39175
Frequency,31000000,118,262712
"Center Stage",18000000,115,156522
"Three to Tango",20000000,98,204082
"Where the Heart Is",15000000,120,125000
Dinosaur,127500000,82,1554878
"Small Time Crooks",0,94,0
"Boys and Girls",16000000,94,170213
"Dracula 2000",28000000,99,282828
"Child's Play",9000000,87,103448
"The Ghost and the Darkness",50000000,109,458716
"The Cat in the Hat",0,82,0
"After the Sunset",60000000,97,618557
"We Were Soldiers",75000000,138,543478
"The Girl Next Door",25000000,108,231481
"Hart's War",70000000,125,560000
"George of the Jungle",55000000,92,597826
"The Medallion",41000000,88,465909
Barbershop,12000000,102,117647
"Pootie Tang",0,81,0
一個好人,12716953,113,112539
"Cradle 2 the Grave",25000000,101,247525
"Mean Girls",17000000,97,175258
"Kangaroo Jack",0,89,0
"Veronica Guerin",17000000,98,173469
"The Hunted",55000000,94,585106
Friday,3500000,91,38462
"Remember the Titans",30000000,113,265487
"Autumn in New York",65000000,103,631068
Loser,0,98,0
"Gojira ni-sen mireniamu",1000000,107,9346
Tomcats,11000000,95,115789
"Pay It Forward",40000000,122,327869
Gettysburg,0,254,0
Subway,2000000,104,19231
"Howard the Duck",37000000,110,336364
"You Don't Mess with the Zohan",90000000,113,796460
"The Waterboy",23000000,90,255556
[REC]²,5600000,85,65882
"Wall Street",15000000,126,119048
Mulan,90000000,88,1022727
"Halloween III: Season of the Witch",2500000,98,25510
"Bringing Down the House",20000000,105,190476
WALL·E,180000000,98,1836735
Happiness,3000000,139,21583
"Courage Under Fire",46000000,117,393162
"The Watcher",33000000,96,343750
Crazy/Beautiful,13000000,99,131313
Glitter,22000000,104,211538
"Henry V",9000000,137,65693
"The Squid and the Whale",1500000,81,18519
"Daddy Day Care",60000000,92,652174
Envy,40000000,99,404040
"Far from Heaven",13500000,107,126168
"Looney Tunes: Back in Action",80000000,90,888889
Torque,40000000,84,476190
Elf,32000000,97,329897
Firefox,18000000,136,132353
"Darkness Falls",0,86,0
"The Client",45000000,119,378151
"The Alamo",145000000,137,1058394
"Escape from Alcatraz",8000000,111,72072
"What a Girl Wants",0,105,0
"Anything Else",0,108,0
Birth,20000000,100,200000
Bobby,0,120,0
Confidence,0,97,0
"The Cooler",32000000,101,316832
"St. Trinian's",0,101,0
"The Haunted Mansion",90000000,99,909091
Waitress,2000000,108,18519
"Sydney White",16500000,108,152778
"Made of Honor",40000000,101,396040
"Without a Paddle",19000000,95,200000
"Quantum of Solace",200000000,106,1886792
"Private Benjamin",0,109,0
"The Tuxedo",0,98,0
"Mrs Henderson Presents",0,103,0
Network,3800000,121,31405
"Little Shop of Horrors",25000000,94,265957
"The Texas Chainsaw Massacre: The Beginning",16000000,91,175824
Basic,50000000,98,510204
"Lucky Numbers",65000000,105,619048
"Robin and Marian",0,106,0
"The One",49000000,87,563218
"Chasseurs de dragons",15000000,80,187500
Showgirls,45000000,128,351563
"Logan's Run",9000000,119,75630
"In & Out",35000000,90,388889
"Dr. Dolittle 2",70000000,87,804598
"Savage Grace",4600000,97,47423
Heartbreakers,35000000,123,284553
"Out of the Blue",0,103,0
Nixon,44000000,192,229167
"Maximum Risk",25000000,100,250000
"Atlantis: The Lost Empire",120000000,95,1263158
"Joy Ride",23000000,97,237113
Switchback,37000000,118,313559
"Shadow of the Vampire",8000000,92,86957
Quills,13500000,124,108871
"Exit Wounds",50000000,101,495050
"Saving Silverman",22000000,90,244444
Shutter,0,85,0
Stripes,10000000,106,94340
May,500000,93,5376
Pinocchio,2600000,88,29545
"Dear Wendy",0,105,0
"All Hat",0,89,0
"Agent Cody Banks",28000000,102,274510
"The Return of the Living Dead",4000000,91,43956
Willard,22000000,100,220000
"La fleur du mal",0,104,0
"Under the Tuscan Sun",0,113,0
"Heaven's Gate",44000000,219,200913
"In the Cut",12000000,119,100840
"High School Musical",4200000,98,42857
"I Am Sam",22000000,132,166667
"Ripley's Game",30000000,110,272727
"Joe Dirt",17700000,91,194505
"Silent Movie",0,86,0
"Session 9",1500000,100,15000
Nothing,0,90,0
Hoodwinked!,15000000,80,187500
Valentine,0,96,0
"The New Guy",13000000,88,147727
"Halloween: The Curse of Michael Myers",5000000,88,56818
"Pokémon 3: The Movie",16000000,93,172043
"Cats & Dogs",60000000,87,689655
"White Oleander",0,109,0
"Stuart Little 2",120000000,78,1538462
"Fatal Attraction",14000000,119,117647
Commando,10000000,90,111111
"Blue Streak",65000000,93,698925
"Wonder Boys",35000000,111,315315
"Cheaper by the Dozen",40000000,98,408163
"Ri¢hie Ri¢h",40000000,95,421053
Secretary,4000000,104,38462
"The Relic",60000000,110,545455
Narc,6500000,105,61905
Thirteen,2000000,100,20000
"Scooby-Doo 2: Monsters Unleashed",0,93,0
"New York Minute",0,91,0
"Exorcist: The Beginning",80000000,114,701754
"The Postman Always Rings Twice",12000000,122,98361
"Dressed to Kill",6500000,105,61905
"The Notebook",29000000,123,235772
"Les Invasions barbares",8000000,99,80808
"The Last Temptation of Christ",7000000,164,42683
Darkness,0,102,0
Godsend,25000000,102,245098
"City Hall",0,111,0
O,0,95,0
Boomerang,40000000,117,341880
"Blazing Saddles",2600000,93,27957
"The Majestic",72000000,152,473684
"The Animal",22000000,84,261905
"Riding in Cars with Boys",48000000,132,363636
"House of Sand and Fog",16500000,126,130952
"Hide and Seek",25000000,101,247525
"Vera Drake",11000000,125,88000
"My Fair Lady",17000000,170,100000
"Ladder 49",60000000,115,521739
"Human Traffic",600000,99,6061
"The Princess Diaries 2: Royal Engagement",40000000,113,353982
"Confessions of a Teenage Drama Queen",15000000,89,168539
"The Prince & Me",0,111,0
"Laws of Attraction",28000000,90,311111
"The Ruins",8000000,91,87912
"National Lampoon's Vacation",15000000,98,153061
"Coco avant Chanel",0,110,0
"The Merchant of Venice",0,138,0
"Tora! Tora! Tora!",25485000,144,176979
"We Are Marshall",65000000,124,524194
"Music and Lyrics",40000000,96,416667
"The Muppet Movie",0,97,0
Kinsey,0,118,0
"Child's Play 2",13000000,84,154762
Возвращение,0,105,0
"Mystic Pizza",0,104,0
"Touching the Void",0,106,0
"Wild Hogs",0,100,0
Patton,12000000,172,69767
"Wicker Park",30000000,114,263158
"Baby's Day Out",50000000,99,505051
"Club Dread",8500000,104,81731
"The Trouble with Harry",1200000,99,12121
Daylight,80000000,115,695652
Freeway,3000000,110,27273
"Kate & Leopold",0,118,0
"Anacondas: The Hunt for the Blood Orchid",20000000,97,206186
"My Beautiful Laundrette",860000,97,8866
"A Cinderella Story",19000000,95,200000
"Seed of Chucky",12000000,87,137931
"Hellboy II: The Golden Army",85000000,120,708333
"A Room with a View",3000000,117,25641
"Hard Rain",70000000,97,721649
"Meet Dave",60000000,90,666667
"Harold & Kumar Go to White Castle",9000000,88,102273
"Nanny McPhee",25000000,97,257732
"Freddy's Dead: The Final Nightmare",11000000,89,123596
"A League of Their Own",40000000,128,312500
"The Howling",1000000,91,10989
Bananas,2000000,82,24390
"Extreme Measures",38000000,118,322034
"The Hotel New Hampshire",7500000,109,68807
"Hearts in Atlantis",31000000,101,306931
"Seven Pounds",55000000,123,447154
"Public Enemies",80000000,140,571429
"The Informant!",22000000,108,203704
"Shutter Island",80000000,138,579710
"The Dead Zone",10000000,103,97087
Warlock,7000000,103,67961
"Jeepers Creepers 2",17000000,104,163462
Bowfinger,55000000,97,567010
"The Upside of Anger",0,118,0
"Halloween 4: The Return of Michael Myers",5000000,88,56818
"Walking Tall",56000000,86,651163
"The Indian in the Cupboard",45000000,96,468750
"Halloween 5: The Revenge of Michael Myers",5000000,96,52083
"The Count of Monte Cristo",35000000,131,267176
"She's the One",3500000,96,36458
"The Musketeer",40000000,104,384615
"The Score",68000000,124,548387
Edtv,80000000,122,655738
"Hollywood Homicide",75000000,116,646552
"House on Haunted Hill",19000000,93,204301
"Bullets Over Broadway",0,98,0
"The Crying Game",3705538,112,33085
"The Santa Clause",22000000,97,226804
"Not Another Teen Movie",16000000,89,179775
"The Art of War",40000000,117,341880
"The New World",30000000,135,222222
"Driving Lessons",0,98,0
"Superman IV: The Quest for Peace",17000000,90,188889
"The Long Kiss Goodnight",65000000,120,541667
"From Here to Eternity",1650000,118,13983
"Fever Pitch",30000000,103,291262
"The Ghost Writer",45000000,128,351563
"Halloween: Resurrection",13000000,94,138298
"Welcome to the Dollhouse",0,88,0
"Herbie Fully Loaded",50000000,101,495050
"National Lampoon’s Van Wilder",5000000,92,54348
"Deuce Bigalow: European Gigolo",22000000,83,265060
"Domestic Disturbance",75000000,89,842697
"Life as a House",18000000,125,144000
"People I Know",20000000,100,200000
"Sky High",35000000,100,350000
"Red Eye",26000000,85,305882
"America's Sweethearts",0,102,0
"Salton Sea",18000000,103,174757
"Black Knight",0,95,0
"Jason X",11000000,91,120879
"The Skulls",15000000,106,141509
Firestarter,15000000,114,131579
Frost/Nixon,0,122,0
"Body Double",10000000,114,87719
Silverado,26000000,127,204724
"Le peuple migrateur",35866397,98,365984
"Money Train",60000000,103,582524
1941,35000000,113,309735
"Sweet Home Alabama",30000000,108,277778
"Book of Shadows: Blair Witch 2",0,90,0
Rollerball,0,98,0
"The Misfits",4000000,124,32258
Kingpin,27000000,113,238938
"Lilo & Stitch",80000000,85,941176
Rushmore,9000000,93,96774
"Police Academy: Mission to Moscow",0,83,0
"Small Soldiers",40000000,110,363636
"High Crimes",42000000,115,365217
Sleeper,2000000,89,22472
"Class of 1984",4300000,98,43878
"Big Momma's House 2",40000000,99,404040
"It's a Mad, Mad, Mad, Mad World",9400000,163,57669
"Pat Garrett & Billy the Kid",4638783,106,43762
"The First Great Train Robbery",6000000,110,54545
"Exorcist II: The Heretic",14000000,118,118644
"The I Inside",8800000,90,97778
"Serial Mom",13000000,95,136842
"New Nightmare",14000000,112,125000
"The Kentucky Fried Movie",600000,83,7229
Redacted,5000000,90,55556
"Stir of Echoes",12000000,99,121212
"The Life of David Gale",50000000,130,384615
"The Haunting",80000000,113,707965
"Flushed Away",149000000,85,1752941
"Quo Vadis",8250000,171,48246
"Blast from the Past",35000000,112,312500
"Everything You Always Wanted to Know About Sex *But Were Afraid to Ask",2000000,88,22727
"Mamma Mia!",52000000,108,481481
"Vanity Fair",23000000,141,163121
"Old School",24000000,91,263736
"Are We There Yet?",32000000,95,336842
"Guess Who",35000000,105,333333
"Blow Out",18000000,108,166667
"Must Love Dogs",30000000,98,306122
"태극기 휘날리며",0,140,0
"Joyeux Noël",22000000,116,189655
"Get Smart",80000000,110,727273
"Street Fighter",35000000,102,343137
"Nothing to Lose",25000000,97,257732
"Vertical Limit",75000000,124,604839
"xXx: State of the Union",60000000,101,594059
"Land of the Dead",15000000,93,161290
"Les visiteurs",0,107,0
"The Emperor's New Groove",100000000,78,1282051
Bloodsport,1500000,92,16304
"The Adventures of Pluto Nash",100000000,95,1052632
"The Man Who Shot Liberty Valance",3200000,123,26016
"The Bad Lieutenant: Port of Call - New Orleans",25000000,122,204918
"The Replacement Killers",30000000,87,344828
少林足球,0,113,0
"Intolerable Cruelty",60000000,100,600000
"The Deer Hunter",15000000,183,81967
"Rob Roy",28000000,139,201439
"This Is England",2380000,101,23564
"Space Chimps",37000000,81,456790
"White Noise",10000000,101,99010
"The Sweetest Thing",43000000,84,511905
"Bulletproof Monk",52000000,104,500000
"Kurtlar vadisi - Irak",10000000,122,81967
"Mona Lisa Smile",65000000,117,555556
Wimbledon,31000000,98,316327
"Sexy Beast",5000000,89,56180
"Heavy Metal",9300000,90,103333
Amistad,36000000,155,232258
"Death Sentence",20000000,105,190476
"The SpongeBob SquarePants Movie",30000000,87,344828
"The Return of the Pink Panther",5000000,113,44248
"Renaissance Man",40000000,128,312500
Jade,50000000,95,526316
"Flight of the Phoenix",45000000,113,398230
"Big Fat Liar",15000000,88,170455
"The Color of Money",13800000,119,115966
"Le Hussard sur le toit",35000000,135,259259
"High School Musical 3: Senior Year",0,116,0
"Snow Dogs",33000000,99,333333
Iris,0,91,0
"Kung Pow: Enter the Fist",0,81,0
"Murder by Numbers",50000000,120,416667
"High Plains Drifter",5500000,105,52381
"Young Sherlock Holmes",18000000,109,165138
Hatchet,0,83,0
"Saw V",10800000,92,117391
"Superhero Movie",35000000,85,411765
"Bride of Chucky",25000000,89,280899
"The Hudsucker Proxy",30000000,111,270270
"Capricorn One",5000000,123,40650
Lifeforce,25000000,116,215517
"Chacun Cherche Son Chat",0,91,0
UHF,5000000,97,51546
"Young Guns",13000000,107,121495
"Into the Blue",50000000,110,454545
Tombstone,25000000,130,192308
"Much Ado About Nothing",8000000,111,72072
"Thirteen Days",80000000,145,551724
"The Rainmaker",40000000,135,296296
Caddyshack,6000000,98,61224
"Men of Honor",32000000,129,248062
"Queen of the Damned",35000000,101,346535
"The Prophecy",8,98,0
"Proof of Life",65000000,135,481481
Spun,2000000,101,19802
"Mad Money",0,104,0
Fortress,8000000,95,84211
"Just Married",18000000,95,189474
"Lilja 4-Ever",0,109,0
"Jackass Number Two",11000000,95,115789
"The Pink Panther",0,93,0
Windtalkers,115000000,134,858209
"Don't Say a Word",50000000,113,442478
"The Quick and the Dead",32000000,107,299065
"Nutty Professor II: The Klumps",84000000,106,792453
"It's All Gone Pete Tong",2000000,90,22222
"Body of Lies",70000000,128,546875
Instinct,80000000,126,634921
"My Stepmother is an Alien",20000000,108,185185
"Chain Reaction",50000000,107,467290
"Step Brothers",65000000,98,663265
"3000 Miles to Graceland",62000000,125,496000
"Alone in the Dark",20000000,96,208333
"The Land Before Time",12300000,69,178261
Frailty,11000000,100,110000
"Sea of Love",19000000,113,168142
"White Chicks",37000000,109,339450
"Three Men and a Baby",0,102,0
"Alice in Wonderland",200000000,108,1851852
"Vampire in Brooklyn",14000000,100,140000
"What Dreams May Come",85000000,113,752212
"Wyatt Earp",63000000,191,329843
"The Hurt Locker",15000000,131,114504
"The Wrestler",6000000,109,55046
"The Love Guru",62000000,87,712644
"Nick and Norah's Infinite Playlist",9000000,89,101124
"The Wendell Baker Story",0,99,0
"The Other Boleyn Girl",35000000,115,304348
Pathology,8000000,95,84211
"Four Christmases",80000000,88,909091
"Edge of Darkness",80000000,117,683761
醉拳二,0,102,0
"Highlander: Endgame",25000000,87,287356
"Urban Legends: Final Cut",14000000,97,144330
"The Story of Us",50000000,95,526316
"White Fang",14000000,107,130841
"Inside Deep Throat",2000000,92,21739
9,30000000,79,379747
"The Oxford Murders",14100000,107,131776
Монгол,18000000,120,150000
"Shotgun Stories",0,92,0
"Home Fries",15000000,93,161290
"Factory Girl",7000000,90,77778
"Undercover Brother",25000000,86,290698
"Spy Kids 3-D: Game Over",38000000,84,452381
"Mean Creek",500000,90,5556
"Chi bi",80341000,150,535607
"Joe Somebody",38000000,99,383838
Redbelt,7000000,99,70707
"A Perfect Getaway",14000000,98,142857
"Me and Orson Welles",25000000,114,219298
"Slumdog Millionaire",15000000,120,125000
Good,0,96,0
"Miracle at St. Anna",45000000,160,281250
崖の上のポニョ,41677699,100,416777
"Underworld: Rise of the Lycans",35000000,92,380435
"All or Nothing",9000000,128,70313
"Breakfast of Champions",12000000,110,109091
"The Forsaken",5000000,90,55556
"Farce of the Penguins",0,80,0
"Sling Blade",1000000,135,7407
"Cry Freedom",0,157,0
"Rock Star",57000000,105,542857
Pollock,0,122,0
"High Anxiety",3400000,94,36170
"Obsluhoval jsem anglického krále",0,120,0
Extract,8000000,92,86957
"A Serious Man",7000000,105,66667
Bella,0,91,0
"Jimmy Neutron: Boy Genius",25000000,83,301205
"Pushing Tin",33000000,124,266129
"Die Schlangengrube und das Pendel",0,85,0
"Osmosis Jones",75000000,95,789474
"Freeze Frame",0,99,0
"Random Hearts",64000000,133,481203
"The House Bunny",25000000,97,257732
"Hamlet 2",0,92,0
"The Big Bounce",50000000,88,568182
"New York, New York",0,155,0
"Soul Plane",16000000,86,186047
"Someone Like You...",23000000,97,237113
Appaloosa,20000000,115,173913
"The Brown Bunny",10000000,93,107527
Ishtar,55000000,107,514019
"Take the Lead",30000000,108,277778
"Stealing Harvard",0,85,0
"Serving Sara",29000000,100,290000
"Swept Away",10000000,89,112360
"The Duchess",0,110,0
"Ghost Town",0,102,0
"Alpha and Omega",20000000,88,227273
"The Secret Life of Bees",11000000,114,96491
"Chacun sa nuit",0,95,0
"Dead Man's Shoes",0,90,0
"No End in Sight",2000000,102,19608
"Dreamer: Inspired By a True Story",0,106,0
"Stargate: The Ark of Truth",7000000,97,72165
"Split Second",7,90,0
Religulous,0,101,0
"Diary of the Dead",2000000,95,21053
"Eagle Eye",80000000,118,677966
"Max Payne",35000000,100,350000
Bolt,150000000,98,1530612
"Punisher: War Zone",20500000,102,200980
Airborne,2600000,91,28571
"I Want Someone to Eat Cheese With",0,80,0
"In the Land of Women",10000000,97,103093
"Brooklyn Rules",8000000,99,80808
"Resurrecting the Champ",0,112,0
Sherrybaby,2000000,96,20833
"The Life Before Her Eyes",8000000,90,88889
"Sunshine Cleaning",5000000,102,49020
"How to Lose Friends & Alienate People",27000000,110,245455
Teeth,0,94,0
"All the Real Girls",0,108,0
"Pride and Glory",30000000,130,230769
"Showdown in Little Tokyo",8000000,79,101266
"Return to Oz",25000000,109,229358
"Secondhand Lions",0,111,0
"Aqua Teen Hunger Force Colon Movie Film for Theaters",0,86,0
"Georgia Rule",20000000,113,176991
"Over Her Dead Body",10000000,95,105263
"Freddy Got Fingered",0,87,0
"The Ten",0,96,0
Watchmen,130000000,163,797546
"Bangkok Dangerous",45000000,99,454545
"A Charlie Brown Christmas",0,25,0
"War, Inc.",5000000,106,47170
Saved!,0,92,0
"10th & Wolf",8000000,107,74766
"Wristcutters: A Love Story",0,88,0
"Deuces Wild",0,96,0
"Gran Torino",33000000,116,284483
"Butterfly on a Wheel",20000000,95,210526
Semi-Pro,0,91,0
"Lakeview Terrace",20000000,110,181818
"Death Race 2000",300000,80,3750
"Harold & Kumar Escape from Guantanamo Bay",12000000,107,112150
"Fast Times at Ridgemont High",4500000,90,50000
"Taxi to the Dark Side",1000000,106,9434
"The Man from Earth",0,87,0
"A Mighty Wind",6000000,91,65934
"Ice Princess",25000000,98,255102
"Righteous Kill",60000000,101,594059
"Hedwig and the Angry Inch",0,95,0
黃石的孩子,40000000,125,320000
"The Wash",7000000,93,75269
"Malibu's Most Wanted",0,86,0
"Donkey Punch",0,99,0
"Antwone Fisher",12500000,120,104167
"Angels & Demons",150000000,138,1086957
Doomsday,30000000,108,277778
"Star Trek",150000000,127,1181102
"Win a Date with Tad Hamilton!",17000000,95,178947
Awake,86000000,84,1023810
"Welcome Home Roscoe Jenkins",35000000,114,307018
"Arn: Tempelriddaren",25000000,139,179856
Alatriste,24000000,145,165517
"American Outlaws",35000000,94,372340
Drumline,20000000,118,169492
"Man of the House",40000000,100,400000
"The Good Night",15000000,93,161290
"Texas Rangers",0,110,0
"Who Killed the Electric Car?",1000000,92,10870
"Eden Lake",0,91,0
Mirrors,35000000,110,318182
"Slacker Uprising",0,102,0
Fuel,0,90,0
"Sex Drive",19000000,109,174312
"City By The Sea",40000000,108,370370
"Shattered Glass",6000000,94,63830
Straightheads,0,88,0
"Here On Earth",0,96,0
"The Dead Girl",0,85,0
Thr3e,0,101,0
"Michael Jackson's This Is It",60000000,111,540541
"The Longshots",0,94,0
"My Best Friend's Girl",20000000,101,198020
"City of Ember",55000000,90,611111
"High School Musical 2",0,104,0
"Christmas with the Kranks",60000000,99,606061
"The Game Plan",22000000,110,200000
"Pooh's Heffalump Movie",0,68,0
"Bottle Rocket",7000000,91,76923
長江七號,0,86,0
"Peaceful Warrior",0,120,0
"Home on the Range",110000000,76,1447368
"Akeelah and the Bee",8000000,112,71429
"Tuck Everlasting",0,90,0
Diner,0,110,0
"Dickie Roberts: Former Child Star",0,98,0
"Best in Show",0,90,0
"The Unborn",16000000,87,183908
"Disaster Movie",25000000,87,287356
放‧逐,4500000,110,40909
RockNRolla,18000000,114,157895
Knowing,50000000,121,413223
Quarantine,12000000,89,134831
Idlewild,0,121,0
"Repo Man",1500000,92,16304
Superstar,0,81,0
"Surfer, Dude",6000000,85,70588
"Race to Witch Mountain",50000000,98,510204
"The Cottage",0,92,0
"The Clan of the Cave Bear",15000000,98,153061
Special,1000000,81,12346
"Return to the Blue Lagoon",11000000,98,112245
まあだだよ,0,134,0
دایره,0,90,0
"The Master of Disguise",0,80,0
"She Wore a Yellow Ribbon",1600000,103,15534
"The Chumscrubber",0,108,0
Radio,32000000,109,293578
"The Great Raid",80000000,132,606061
"Raising Cain",12000000,91,131868
"The Last Dragon",10000000,108,92593
"An American Carol",20000000,83,240964
"All About the Benjamins",14000000,95,147368
ATL,20000000,105,190476
"The Last Waltz",0,117,0
"Miss Potter",30000000,92,326087
"The Women",16000000,114,140351
Choke,3000000,92,32609
"8 Heads in a Duffel Bag",0,95,0
"Finishing The Game",0,84,0
"The Wackness",6000000,99,60606
College,7000000,94,74468
"Romance & Cigarettes",0,105,0
"Bottle Shock",5000000,110,45455
Flicka,15000000,95,157895
"The Hammer",0,88,0
Slacker,0,97,0
"Raise Your Voice",15000000,103,145631
"Soul Survivors",0,84,0
"What's the Worst That Could Happen?",45000000,94,478723
"Nancy Drew",0,99,0
"The Great Debaters",15000000,126,119048
